Genus,Sample,Samples_type,pilot,granule_type,year,mean_abundance,mean
Amb-16S-1323,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.991297514027707,1.6593632762085309
Amb-16S-1323,ALAR.2,Granules,A_used_granules,Backwashed_granules,2022,1.0505486598309048,1.6593632762085309
Amb-16S-1323,ALAR.3,Granules,B_virgin_granules,Whole_granules,2022,1.7855228404627543,1.6593632762085309
Amb-16S-1323,ALAR.4,Granules,B_virgin_granules,Backwashed_granules,2022,1.697757425885412,1.6593632762085309
Amb-16S-1323,ALAR.5,Granules,B_virgin_granules,Whole_granules,2023,4.516589750269827,1.6593632762085309
Amb-16S-1323,ALAR.6,Granules,B_virgin_granules,Backwashed_granules,2023,4.422257683547507,1.6593632762085309
Amb-16S-1323,ALAR.7,Backwash_water,A_used_granules,NA,2022,0.3421077303257099,1.6593632762085309
Amb-16S-1323,ALAR.8,Backwash_water,A_used_granules,NA,2022,0.0756339198698977,1.6593632762085309
Amb-16S-1323,ALAR.9,Backwash_water,A_used_granules,NA,2023,0.05255396165705859,1.6593632762085309
Bradyrhizobium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,4.366141314367762,3.262589408860766
Bradyrhizobium,ALAR.2,Granules,A_used_granules,Backwashed_granules,2022,4.966270912034539,3.262589408860766
Bradyrhizobium,ALAR.3,Granules,B_virgin_granules,Whole_granules,2022,2.4588299887267757,3.262589408860766
Bradyrhizobium,ALAR.4,Granules,B_virgin_granules,Backwashed_granules,2022,2.1113768247540263,3.262589408860766
Bradyrhizobium,ALAR.5,Granules,B_virgin_granules,Whole_granules,2023,7.082744054486583,3.262589408860766
Bradyrhizobium,ALAR.6,Granules,B_virgin_granules,Backwashed_granules,2023,7.449631639625453,3.262589408860766
Bradyrhizobium,ALAR.7,Backwash_water,A_used_granules,NA,2022,0.6104517980113883,3.262589408860766
Bradyrhizobium,ALAR.8,Backwash_water,A_used_granules,NA,2022,0.15724680573741576,3.262589408860766
Bradyrhizobium,ALAR.9,Backwash_water,A_used_granules,NA,2023,0.16061134200294944,3.262589408860766
Defluviimonas,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.2577410782292592,0.8032841287846584
Defluviimonas,ALAR.2,Granules,A_used_granules,Backwashed_granules,2022,0.16100017988846915,0.8032841287846584
Defluviimonas,ALAR.3,Granules,B_virgin_granules,Whole_granules,2022,3.538882878668265,0.8032841287846584
Defluviimonas,ALAR.4,Granules,B_virgin_granules,Backwashed_granules,2022,0.8102663152231288,0.8032841287846584
Defluviimonas,ALAR.5,Granules,B_virgin_granules,Whole_granules,2023,0.17236406267445756,0.8032841287846584
Defluviimonas,ALAR.6,Granules,B_virgin_granules,Backwashed_granules,2023,0.15817000815454266,0.8032841287846584
Defluviimonas,ALAR.7,Backwash_water,A_used_granules,NA,2022,0.4409899543443613,0.8032841287846584
Defluviimonas,ALAR.8,Backwash_water,A_used_granules,NA,2022,1.2313680472099156,0.8032841287846584
Defluviimonas,ALAR.9,Backwash_water,A_used_granules,NA,2023,0.4587746346695267,0.8032841287846584
Ferruginibacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.8397070243755272,1.4154604137079785
Ferruginibacter,ALAR.2,Granules,A_used_granules,Backwashed_granules,2022,0.8675121424716675,1.4154604137079785
Ferruginibacter,ALAR.3,Granules,B_virgin_granules,Whole_granules,2022,0.41925349811084145,1.4154604137079785
Ferruginibacter,ALAR.4,Granules,B_virgin_granules,Backwashed_granules,2022,1.0188581253214164,1.4154604137079785
Ferruginibacter,ALAR.5,Granules,B_virgin_granules,Whole_granules,2023,0.5322118426439392,1.4154604137079785
Ferruginibacter,ALAR.6,Granules,B_virgin_granules,Backwashed_granules,2023,0.5237184714450412,1.4154604137079785
Ferruginibacter,ALAR.7,Backwash_water,A_used_granules,NA,2022,0.7786754027372157,1.4154604137079785
Ferruginibacter,ALAR.8,Backwash_water,A_used_granules,NA,2022,2.590685966768907,1.4154604137079785
Ferruginibacter,ALAR.9,Backwash_water,A_used_granules,NA,2023,5.1685212494972514,1.4154604137079785
Flavobacterium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.341357945371555,2.0678335364584504
Flavobacterium,ALAR.2,Granules,A_used_granules,Backwashed_granules,2022,0.17269293038316244,2.0678335364584504
Flavobacterium,ALAR.3,Granules,B_virgin_granules,Whole_granules,2022,0.1184175901289436,2.0678335364584504
Flavobacterium,ALAR.4,Granules,B_virgin_granules,Backwashed_granules,2022,0.605917625753366,2.0678335364584504
Flavobacterium,ALAR.5,Granules,B_virgin_granules,Whole_granules,2023,0.19818378056496336,2.0678335364584504
Flavobacterium,ALAR.6,Granules,B_virgin_granules,Backwashed_granules,2023,0.12231813963951298,2.0678335364584504
Flavobacterium,ALAR.7,Backwash_water,A_used_granules,NA,2022,0.6617502684325133,2.0678335364584504
Flavobacterium,ALAR.8,Backwash_water,A_used_granules,NA,2022,4.708136774826162,2.0678335364584504
Flavobacterium,ALAR.9,Backwash_water,A_used_granules,NA,2023,11.681726773025876,2.0678335364584504
