Genus,Sample,Samples_type,pilot,granule_type,year,mean_abundance
Nitrospira,ALAR.1,Granules,A_used_granules,Whole_granules,2022,28.54128606093789
Nitrosomonas,ALAR.1,Granules,A_used_granules,Whole_granules,2022,6.8411260901386095
Bradyrhizobium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,4.366141314367762
Hyphomicrobium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,3.559955528490259
PLTA13,ALAR.1,Granules,A_used_granules,Whole_granules,2022,3.5052041722768186
Nitrosospira,ALAR.1,Granules,A_used_granules,Whole_granules,2022,3.4072476642214786
Terrimonas,ALAR.1,Granules,A_used_granules,Whole_granules,2022,3.0543435144783815
Pedomicrobium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,3.016352777513953
Genus of Microtrichaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,2.4166950666048383
Genus of Rhizobiales_Incertae_Sedis,ALAR.1,Granules,A_used_granules,Whole_granules,2022,1.8559592381739862
Stenotrophobacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,1.7570715846048128
Genus of Vicinamibacterales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,1.6648881787352436
Genus of Gaiellales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,1.1086218487707948
mle1-7,ALAR.1,Granules,A_used_granules,Whole_granules,2022,1.077894046814272
Amb-16S-1323,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.991297514027707
JGI_0001001-H03,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.9456713838498397
Luteimonas,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.9162471856126845
Genus of Comamonadaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.915688498304384
Genus of Alphaproteobacteria,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.8661515569684137
Mycobacterium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.8641030368379788
Ferruginibacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.8397070243755272
Genus of Blastocatellaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.805440869466435
Acidibacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.760373426596868
Brevibacillus,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.6631618349525954
Genus of Planctomycetales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.6244261815770998
Bacillus,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.604127209375518
Novosphingobium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.5592459956087178
A0839,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.5430440636680056
Genus of Chitinophagaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.5400643980237367
Genus of Sphingomonadaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.5329876921185981
SWB02,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.5231175496719574
Genus of Kineosporiaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.5201378840276886
Nordella,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.511943803505949
Genus of Hyphomicrobiaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.5059844722174113
Rhodobacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.45998588383401035
Vicinamibacteraceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.42758201995258605
Planctopirus,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.3802798278498174
Dongia,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.3707821436087103
Schlesneria,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.3705959145059435
Pajaroellobacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.3527179206403302
Genus of Methyloligellaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.3456412147351915
Flavobacterium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.341357945371555
Pseudorhodoplanes,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.34042679985772095
IS-44,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.34005434165218734
Mesorhizobium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.32403863881424205
Phenylobacterium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.32329372240317483
Genus of Gemmataceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.3184517657312379
Conexibacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.30187737558499217
Pirellula,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.28139217428064356
Tundrisphaera,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.2806472578695763
Genus of Caldilineaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.2687285952925007
Bryobacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.2685423661897339
Genus of Rhizobiaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.2631417222094966
Defluviimonas,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.2577410782292592
Pseudonocardia,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.24898831039921934
Genus of Gemmatimonadaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.24749847757708487
Haliangium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.24228406269961433
JG30-KF-CM45,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.24228406269961433
B1-7BS,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.23706964782214376
Blastocatella,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.23706964782214374
Genus of Rubinisphaeraceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.23055162922530556
67-14,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.22980671281423834
OM190,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.22757196358103665
Subgroup_10,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.22645458896443585
Aminobacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.21807427933992957
Lysinibacillus,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.21360478087352622
Genus of Pirellulaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.20857659509882248
Fimbriimonadaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.19814776534388134
Pir4_lineage,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.19814776534388134
Genus of Microbacteriaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.19591301611067968
Nocardioides,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.18753270648617343
S085,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.18641533186957257
Afipia,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.1839943535336041
SH-PL14,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.1836218953280705
RCP2-54,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.17859370955336673
Reyranella,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.17021339992886048
Genus of Xanthobacteraceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.16909602531225965
Rhodoferax,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.1614606320988206
TK10,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.16015702837945298
Sphingobium,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.15941211196838573
Genus of Actinobacteria,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.15326655157708116
Sphingorhabdus,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.15010065683004545
Genus of Reyranellaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.14693476208300976
Hirschia,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.14246526361660644
PeM15,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.13427118309486696
MND1,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.12980168462846364
Gaiella,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.12682201898419473
A4b,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.1251459570592935
Methyloglobulus,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.11527581461265277
KF-JG30-B3,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.11397221089328513
Genus of Verrucomicrobiaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.11136500345454986
Sphingopyxis,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.10782665050198055
Genus of Saprospiraceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.10540567216601207
WD260,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.10521944306324527
Genus of Desulfobacterota,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.10186731921344275
Genus of Oxalobacteraceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.10074994459684193
Elev-16S-1166,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.10037748639130831
Aridibacter,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.1001912572885415
Genus of Defluviicoccales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.09907388267194067
Genus of Chitinophagales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.09590798792490497
Dokdonella,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.09404569689723692
Genus of Micropepsaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.0934870095889365
Marmoricola,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.0933007804861697
Ellin6067,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.09199717676680205
Genus of Gammaproteobacteria,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.08585161637549746
Simplicispira,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.08510669996443024
Genus of Solirubrobacteraceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.08492047086166343
Rhizorhapis,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.08436178355336302
Genus of Rhodobacteraceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.08305817983399538
Genus of Diplorickettsiaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.08249949252569495
Planktothrix_NIVA-CYA_15,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.08249949252569495
Genus of Yersiniaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.07784376495652481
Devosia,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.07672639033992398
Methylotenera,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.07449164110672231
Gemmata,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.0743054120039555
JG30-KF-CM66,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.07356049559288828
Genus of Holosporaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.07262935007905426
Genus of Beijerinckiaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.07207066277075384
Saccharimonadales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.06834608071541771
Romboutsia,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.06573887327668244
Genus of Rhizobiales,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.06369035314624757
Genus of Neisseriaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.06313166583794716
Genus of Rhodospirillaceae,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.06257297852964674
Subgroup_17,ALAR.1,Granules,A_used_granules,Whole_granules,2022,0.06071068750197869
